alert-1,"2024-01-15 08:30:00",critical,"Multiple Failed Login Attempts","Multiple failed login attempts from single IP address 198.51.100.67 targeting SSH service. 120 attempts in 5 minutes from the same source.",new,unassigned,firewall
alert-2,"2024-01-15 08:25:00",high,"Port Scan Detected","Port scanning activity detected from external IP 198.51.100.23 scanning common service ports 22",80,443,3389,"3389. Scanning pattern indicates reconnaissance activity.",in_progress,analyst1,ids
alert-3,"2024-01-15 08:20:00",medium,"Unauthorized File Access","User service_account attempted to access confidential financial records file without proper authorization. File path: C:\Confidential\financial_records.xlsx",new,unassigned,windows
alert-4,"2024-01-15 08:15:00",low,"Configuration Change","System configuration file /etc/ssh/sshd_config modified by user system. Change occurred outside of maintenance window.",resolved,analyst2,linux
alert-5,"2024-01-15 08:10:00",critical,"Malware Signature Detected","Malicious software communication pattern detected to known C2 server 185.130.5.231. Traffic pattern matches Emotet malware family.",in_progress,analyst3,av
alert-6,"2024-01-15 08:05:00",high,"SQL Injection Attempt","SQL injection attempt detected in web application login form. Attack originated from IP 203.0.113.89 targeting /login.php with UNION SELECT payload.",new,unassigned,waf
alert-7,"2024-01-15 08:00:00",critical,"Data Exfiltration Detected","Large data transfer detected from internal host to external IP 198.51.100.89. 450MB transferred in 2 minutes via HTTPS. Potential data theft.",in_progress,analyst1,ids
alert-8,"2024-01-15 07:55:00",medium,"Phishing Email Blocked","Phishing email with malicious attachment blocked at email gateway. Email claimed to be from HR department with subject ""Urgent: Salary Revision"".resolved",analyst2,email_gateway
alert-9,"2024-01-15 07:50:00",high,"Ransomware Behavior Detected","Ransomware-like file encryption pattern detected on workstation-02. Multiple file extensions changed to .locked extension with ransom note.",new,unassigned,edr
alert-10,"2024-01-15 07:45:00",critical,"Advanced Persistent Threat","APT reconnaissance activity detected. Pattern matches known APT29 (Cozy Bear) TTPs including PowerShell Empire and Cobalt Strike beacons.",in_progress,analyst3,ids
alert-11,"2024-01-15 07:40:00",medium,"Unauthorized VPN Access","VPN connection established from unusual geographic location (Russia) for user admin. Connection originated from IP 95.213.255.36.",new,unassigned,vpn
alert-12,"2024-01-15 07:35:00",high,"Web Shell Upload","Web shell upload attempt detected to /uploads/ directory on web server. File name: cmd.aspx with base64 encoded payload.",in_progress,analyst1,waf
alert-13,"2024-01-15 07:30:00",critical,"DDoS Attack In Progress","DDoS amplification attack detected using DNS protocol. Attack volume: 15Gbps targeting infrastructure DNS servers.",new,unassigned,router
alert-14,"2024-01-15 07:25:00",low,"Policy Violation - USB Device","USB device connected to workstation-04 against corporate security policy. Device serial: 1234567890ABCDEF.",resolved,analyst2,edr
alert-15,"2024-01-15 07:20:00",high,"Credential Stuffing Attack","Credential stuffing attack detected against web application login. 850 login attempts from IP block 203.0.113.0/24 using common credentials.",in_progress,analyst3,waf
alert-16,"2024-01-15 07:15:00",critical,"Zero-Day Exploit Attempt","Potential zero-day exploit attempt detected against Exchange server. Attack pattern does not match known vulnerabilities.",new,unassigned,ids
alert-17,"2024-01-15 07:10:00",medium,"Insider Threat - Data Access","User jsmith accessed 250 sensitive files in 30 minutes outside of normal working hours. Unusual access pattern for this user.",in_progress,analyst1,dlp
alert-18,"2024-01-15 07:05:00",high,"Cryptocurrency Mining","Cryptocurrency mining traffic detected from multiple internal hosts communicating with mining pool stratum+tcp://xmr.pool.minergate.com:45700.",new,unassigned,ids
alert-19,"2024-01-15 07:00:00",critical,"Supply Chain Attack","Third-party software update compromised with malicious payload. Software: AccountingPro v2.1.3 from vendor update server.",in_progress,analyst2,av
alert-20,"2024-01-15 06:55:00",medium,"Cloud Misconfiguration","S3 bucket misconfiguration detected allowing public read access. Bucket contains customer PII data. Immediate remediation required.",new,unassigned,cloud_security
alert-21,"2024-01-15 06:50:00",high,"Container Escape Attempt","Potential container escape attempt detected in Docker environment. Privileged container attempting host system calls.",in_progress,analyst3,container_security
alert-22,"2024-01-15 06:45:00",critical,"Golden Ticket Attack","Potential Golden Ticket attack detected in Active Directory. Unusual Kerberos ticket granting ticket requests from non-domain joined system.",new,analyst1,ad_security
alert-23,"2024-01-15 06:40:00",low,"Compliance Violation","Data retention policy violation detected. Customer data stored beyond mandated 7-year retention period.",resolved,analyst1,compliance
alert-24,"2024-01-15 06:35:00",high,"Mobile Device Threat","Mobile device jailbreak detected on corporate iPhone. Device ID: iPhone12","3-SN123456 attempting to access corporate resources.",in_progress,analyst2,mobile_security
alert-25,"2024-01-15 06:30:00",critical,"IoT Device Compromise","IoT camera device compromised and participating in Mirai botnet. Device: Axis M3045-V located in Building A Lobby.",new,unassigned,iot_security
alert-26,"2024-01-15 06:25:00",medium,"Social Engineering Attack","Social engineering attempt detected via phone call targeting finance department. Caller impersonating IT support requesting credentials.",resolved,analyst3,social
alert-27,"2024-01-15 06:20:00",high,"API Abuse Detected","API rate limit exceeded by application client. 10","000 requests in 1 minute from IP 198.51.100.45 targeting customer data endpoint.",in_progress,analyst1,api_security
alert-28,"2024-01-15 06:15:00",critical,"Network Segmentation Breach","Lateral movement detected between segmented networks. Host in DMZ zone attempting to access internal database server.",new,analyst1,firewall
alert-29,"2024-01-15 06:10:00",medium,"Log Tampering Detected","SIEM log data tampering detected. Log entries from Windows security event log deleted or modified to cover tracks.",in_progress,analyst2,siem
alert-30,"2024-01-15 06:05:00",high,"Physical Security Breach","Unauthorized physical access detected to server room. Access card used outside of authorized hours by terminated employee.",new,unassigned,physical_security
